Date,target_rp25_u10,BUZM3_u10,target_rp25_u10_biascor
2014-08-26 10:00:00,1.9724999250000002,2.6349417244373177,3.1385999250000003
2014-09-03 23:00:00,3.233333233333333,4.830726494801748,4.399433233333333
2014-09-30 10:00:00,6.706666566666667,5.357714839689212,7.872766566666667
2014-11-04 10:00:00,5.9633332333333335,2.898435896881049,7.129433233333334
2014-11-12 23:00:00,4.467999959999999,3.601087023397667,5.6340999599999995
2014-12-09 10:00:00,13.763333166666667,11.945069150782505,14.929433166666668
2014-12-17 23:00:00,6.956666666666667,9.749284380418075,8.122766666666667
2015-01-13 10:00:00,12.0216665,11.242418024265888,13.1877665
2015-01-21 23:00:00,4.719999925,4.47940093154344,5.886099925
2015-02-17 10:00:00,5.486666500000001,4.3037381499142855,6.652766500000001
2015-02-25 23:00:00,7.706666533333333,5.7090404029475215,8.872766533333333
2015-03-24 10:00:00,5.789999900000001,6.587354311093294,6.956099900000001
2015-04-01 23:00:00,5.41499985,6.67518570190787,6.58109985
2015-04-28 10:00:00,7.3299997333333335,6.850848483537026,8.496099733333333
2015-05-06 23:00:00,1.14,5.44554623050379,2.3061
2015-06-02 10:00:00,8.567499775,9.92494716204723,9.733599775
2015-06-10 23:00:00,4.48599988,7.02651126516618,5.65209988
2015-07-07 10:00:00,2.8219999199999997,5.7090404029475215,3.98809992
2015-07-15 23:00:00,2.5899999333333334,3.51325563258309,3.756099933333333
2015-08-11 10:00:00,6.3549998500000004,8.080487954941105,7.521099850000001
2015-08-19 23:00:00,2.21999995,3.8645811958413994,3.38609995
2015-09-15 10:00:00,7.831999999999999,7.816993782497375,8.998099999999999
2015-09-23 23:00:00,3.7839999399999997,5.0063892764309035,4.950099939999999
2015-10-20 10:00:00,12.909999,14.404348093590668,14.076099
2015-10-28 23:00:00,12.920000000000002,12.999045840557434,14.086100000000002
2015-11-24 10:00:00,9.01,6.763017092722448,10.1761
2015-12-02 23:00:00,2.9574998999999997,4.742895103987172,4.123599899999999
2015-12-29 10:00:00,14.190000000000001,11.945069150782505,15.356100000000001
2016-01-06 23:00:00,7.8475,8.431813518199416,9.0136
2016-02-02 10:00:00,7.446666666666666,4.655063713172594,8.612766666666666
2016-03-08 10:00:00,3.6799999,4.830726494801748,4.8460999
2016-03-16 23:00:00,3.5999999199999997,6.850848483537026,4.766099919999999
2016-05-17 10:00:00,6.61999995,6.587354311093294,7.7860999500000005
2016-05-25 23:00:00,7.429999925,9.57362159878892,8.596099924999999
2016-06-21 10:00:00,8.639999000000001,6.763017092722448,9.806099000000001
2016-06-29 23:00:00,4.136666666666666,2.6349417244373177,5.302766666666666
2016-07-15 23:00:00,4.182857,6.236028747834984,5.348957
2016-07-23 10:00:00,5.911428571428572,5.7090404029475215,7.077528571428572
2016-09-14 23:00:00,6.053749924999999,7.02651126516618,7.219849924999999
2016-09-22 10:00:00,0.97999996,1.053976689774927,2.14609996
2016-10-08 10:00:00,3.2319999599999996,1.6687964254769676,4.39809996
2016-11-14 23:00:00,8.1112497125,7.02651126516618,9.2773497125
2016-12-08 10:00:00,4.714999999999999,4.3037381499142855,5.881099999999999
2017-01-30 23:00:00,9.721249624999999,9.222296035530611,10.887349624999999
2017-02-07 10:00:00,4.89999985,5.621209012132944,6.0660998500000005
2017-02-23 10:00:00,2.6337499749999997,2.898435896881049,3.799849975
2017-04-17 23:00:00,3.1512499125000004,8.34398212738484,4.3173499125
2017-05-11 10:00:00,5.0212499625,4.47940093154344,6.1873499625
2017-07-03 23:00:00,4.721666616666666,8.431813518199416,5.887766616666666
2017-07-19 23:00:00,5.4442856142857154,7.202174046795334,6.610385614285716
2017-07-27 10:00:00,2.8749999833333337,3.425424241768513,4.041099983333334
2017-08-12 10:00:00,4.46,1.3174708622186588,5.6261
2017-10-04 23:00:00,9.6499998,13.526034185444896,10.8160998
2017-10-20 23:00:00,4.631428414285714,6.236028747834984,5.797528414285714
2017-10-28 10:00:00,4.126666666666667,3.601087023397667,5.292766666666667
2017-11-13 10:00:00,4.169999925,5.884703184576676,5.336099925
2017-11-29 10:00:00,9.7399995,10.451935506934692,10.9060995
2018-01-05 23:00:00,16.593333333333334,15.546156174180172,17.759433333333334
2018-01-21 23:00:00,1.665714242857143,2.986267287695626,2.831814242857143
2018-02-14 10:00:00,5.141428442857142,4.040243977470553,6.3075284428571425
2018-05-10 23:00:00,6.136666566666666,6.587354311093294,7.302766566666667
2018-05-18 10:00:00,7.801666666666666,11.330249415080464,8.967766666666666
2018-06-03 10:00:00,7.971666166666668,8.695307690643148,9.137766166666667
2018-07-26 23:00:00,5.7579998,5.44554623050379,6.9240998000000005
2018-09-04 10:00:00,4.295714285714285,5.0063892764309035,5.4618142857142855
2018-09-20 10:00:00,9.089999571428573,8.95880186308688,10.256099571428573
2018-11-28 23:00:00,14.404999333333334,12.472057495669969,15.571099333333335
2018-12-14 23:00:00,3.5328570428571426,2.722773115251895,4.698957042857143
2018-12-30 23:00:00,4.904999925,3.7767498050268213,6.071099925
2019-01-07 10:00:00,13.36571385714286,12.384226104855392,14.53181385714286
2019-01-23 10:00:00,9.597499749999999,7.904825173311952,10.76359975
2019-08-21 23:00:00,7.028749875000001,6.763017092722448,8.194849875000001
2019-09-30 10:00:00,7.153333033333333,7.465668219239066,8.319433033333333
2019-12-16 10:00:00,9.444999833333334,8.95880186308688,10.611099833333334
