Date	WSPD	WVHT	u10
2014-01-04 22:50:00	10.2	1.77	10.237023259521285
2014-01-04 23:50:00	10.0	1.81	10.036297313256162
2014-01-05 00:50:00	10.1	1.88	10.136660286388723
2014-01-05 01:50:00	11.6	2.02	11.642104883377149
2014-01-05 02:50:00	11.6	2.03	11.642104883377149
2014-01-05 03:50:00	11.3	2.19	11.341015963979464
2014-01-05 04:50:00	11.7	2.33	11.742467856509709
2014-01-05 05:50:00	8.1	2.28	8.129400823737491
2014-01-05 06:50:00	7.0	2.16	7.025408119279313
2014-01-05 07:50:00	7.6	2.08	7.6275859580746825
2014-01-05 08:50:00	7.9	2.11	7.928674877472369
2014-01-05 09:50:00	7.1	1.9	7.125771092411875
2014-01-05 10:50:00	6.0	1.75	6.021778387953698
2014-01-05 11:50:00	5.4	1.66	5.419600549158328
2014-01-05 12:50:00	5.8	1.68	5.8210524416885745
2014-01-05 13:50:00	5.5	1.7	5.519963522290889
2014-01-05 14:50:00	5.1	1.6	5.118511629760643
2014-01-05 15:50:00	2.9	1.42	2.9105262208442872
2014-01-05 16:50:00	1.1	1.33	1.1039927044581779
2014-01-05 17:50:00	2.3	1.25	2.308348382048917
2014-01-05 18:50:00	4.6	1.15	4.616696764097834
2014-01-05 19:50:00	6.7	1.07	6.72431919988163
2014-01-05 20:50:00	6.3	0.99	6.322867307351383
2014-01-05 21:50:00	6.6	0.96	6.623956226749066
2014-01-05 22:50:00	4.3	0.93	4.31560784470015
2014-01-05 23:50:00	4.9	0.85	4.91778568349552
2014-01-06 00:50:00	9.0	0.95	9.032667581930546
2014-01-06 01:50:00	8.6	1.24	8.6312156894003
2014-01-06 02:50:00	9.4	1.27	9.434119474460793
2014-01-06 03:50:00	10.5	1.62	10.53811217891897
2014-01-06 04:50:00	9.2	1.82	9.233393528195668
2014-01-06 05:50:00	9.0	1.93	9.032667581930546
2014-01-06 06:50:00	9.0	1.77	9.032667581930546
2014-01-06 07:50:00	9.2	1.66	9.233393528195668
